CITY_ID,CITYNAME_AR,CITYNAME_EN,REGION_ID
1202001,المندق,Al-mandaq,12
807025,انبوان,Ainbiwan,8
902001,طريف,Tarif,9
1302001,دومة الجندل,Dumat Al-Jandal,13
901014,شعبه نصاب,Shaebih Nasab,9
1303001,طبرجل,Tabarjal,13
1302002,ابو عجرم,Abu Ajram,13
901022,ابن شريم,Ibn Sharim,9
901001,رفحاء,Rafha',9
1300002,صوير,Suwayr,13
1007069,مسليه,Misilih,10
1007082,المطعن,Almataean,10
1007040,بيش,Baysh,10
1013001,الدرب,Ad-Darb,10
1013020,الكدره,Al Kadarah,10
1013029,ابو السداد,Abu AlSadad,10
1001119,العاليه والخضراء,Alealiuh Walkhudira',10
1007048,الحقو,Alhuquw,10
1003032,القفل,Alqafl,10
900006,ام خنصر,Umm Khansur,9
903002,العويقيله,Aleuyqilh,9
1300001,سكاكا,Sakakah,13
1301001,القريات,Qurayyat,13
1301004,العيساويه,Al Issawiyah,13
1301015,الناصفه,Al Nasefa,13
1300010,زلوم,Zaloum,13
1301003,الحديثه القديمه,Al Hadithah Al Qadeemah,13
703002,تيماء,Tima',7
704001,املج,Amlij,7
702001,ضباء,Daba',7
701001,الوجه,Alwajh,7
705001,حقل,Haql,7
706001,البدع,Albadae,7
700012,حاله عمار,Halah Eammar,7
700017,بئر بن هرماس,Bayir Bin Hirmas,7
214305,القريع بني مالك,Alqarei Bani Malik,2
1209029,الحجرة,Al Hajrah,12
502001,حفر الباطن,Hafar Al-Batin,5
1006234,الريث,Al Reeth,10
800001,حائل,Hayil,8
800110,عريجاء,Earija',8
501001,الهفوف,Alhufuf,5
501002,المبرز,Almubriz,5
501003,البطاليه,Albitaliuh,5
501004,القرين,Alqarin,5
501005,جليجله,Jilyjlh,5
501006,الشقيق,Alshaqiq,5
501007,المطيرفى,Almutayarfaa,5
501008,بني معن,Bani Maen,5
501009,الحوطه,Alhutuh,5
501011,الجشه,Aljushuh,5
501012,الرميله,Alramiluh,5
501014,المركز,Centers,5
501018,المنيزله,Almunayzilh,5
501019,الطرف,Altaraf,5
501021,الفضول,Alfudul,5
501022,التويثير,Altwaythir,5
501024,الحليله,Alhaliluh,5
501026,الكلابيه,Alkalabiuh,5
501027,العمران,Aleumran,5
501028,الجبيل,Aljabil,5
501033,المنصوره,Almansuruh,5
501037,الجفر,Aljafr,5
501038,القاره,Alqaruh,5
501079,العيون,Aleuyun,5
501081,المراح,Almarah,5
501086,العضيليه,Aleadiliuh,5
501104,العقير,Uqair,5
501107,الاحساء,Al Ahsa,5
604348,قنا,Qena,6
400005,البصر,Albasar,4
400060,المليداء,Almalida',4
300001,المدينه المنوره,Madinah,3
300212,الصويدره,As-Suwayderah,3
402001,الرس,Alrasu,4
1200001,الباحة,Al Baha,12
404001,البكيريه,Albikiriuh,4
404003,الهلاليه,Alhalalih,4
403001,المذنب,Almudhanib,4
