DISTRICT_ID,DISTRICTNAME_AR,DISTRICTNAME_EN,REGION_ID,CITY_ID
405002004,العليا,Al Olaya,4,405002
405002006,المرقب,Al Marqab,4,405002
405002007,رامات,Ramat,4,405002
405002008,الروضة,Ar Rawdah,4,405002
405002009,العبيلة,Al Ubaylah,4,405002
405002010,الأندلس,Al Andalus,4,405002
405002011,الريان,Ar Rayaan,4,405002
405002012,القبعية,Al Qabaeia,4,405002
405002013,المنار,Al Manar,4,405002
405002003,أم تلعة,Umm Talea,4,405002
411001001,النهضة,An Nahdah,4,411001
411001002,المنار,Al Manar,4,411001
411001003,الخليج,Al Khalij,4,411001
411001004,الريان,Ar Rayaan,4,411001
411001005,الملك فهد,King Fahd,4,411001
404001002,الديرة,Ad Dirah,4,404001
404001003,الزهرة,Az Zahrah,4,404001
404001004,الياسمين,Al Yasmin,4,404001
405002014,الدحلة,Al Dihla,4,405002
405002015,قرطبة,Qurtubah,4,405002
405002016,الأصفر,Al Asfar,4,405002
405002017,السليمانية,As Sulaymaniyah,4,405002
405002018,المنتزة,Al Muntazah,4,405002
405002019,الرواد,Ruwad,4,405002
405002020,الإسكان,Al Iskan,4,405002
405002021,النسيم,Al Naseem,4,405002
405002022,الندى,An Nada,4,405002
405002023,السلام,As Salam,4,405002
405002024,إشبيلية,Ishbiliyah,4,405002
404001017,الجامعة,Al Jamiah,4,404001
404001018,البديعة,Al Badiah,4,404001
404001019,المنتزة,Al Muntazah,4,404001
404001021,النخيل,Al Nakhil,4,404001
404001022,المجد,Al Majd,4,404001
404001023,الربيع,Ar Rabie,4,404001
404001024,البساتين,Al Basatin,4,404001
405002001,الخليج,Al Khalij,4,405002
405002002,النهضة,An Nahdah,4,405002
404001006,القادسية,Al Qadisiyah,4,404001
404001007,النهضة,An Nahdah,4,404001
404001008,البيضاء,Al Baida,4,404001
404001009,الربوة,Ar Rabwah,4,404001
404001010,الصناعية,Industrial,4,404001
404001011,الأمل,Al Amal,4,404001
404001013,الصفاء,As Safa,4,404001
404001014,الصحة,As Siha,4,404001
404001015,الريان,Ar Rayaan,4,404001
404001016,السلام,As Salam,4,404001
408001006,المنطقة الصناعية,Industrial Area,4,408001
408001007,النهضة,An Nahdah,4,408001
408001008,النزهة,An Nuzhah,4,408001
408001009,الأفق,Al Ufuq,4,408001
408001010,أوثال,Awthal,4,408001
408001011,شرق أوثال,East Uthal,4,408001
408001013,غرب أوثال,West Uthal,4,408001
400087001,الربوة,Ar Rabwah,4,400087
400087002,النور,An Noor,4,400087
400087004,الروضة,Ar Rawdah,4,400087
404001005,الرياض,Ar Riyadh,4,404001
400087006,الهجرة,Al Hijrah,4,400087
400087007,القادسية,Al Qadisiyah,4,400087
400087008,المنتزة,Al Muntazah,4,400087
400087009,السلام,As Salam,4,400087
400087010,الريان,Ar Rayaan,4,400087
412001001,الروابي,Ar Rawabi,4,412001
412001002,غرناطة,Ghirnatah,4,412001
412001003,المحمدية,Al Muhammadiyah,4,412001
412001004,مركز المطيوي,Al Mutiwi Center,4,412001
412001005,قرية الرمثية,Qaryat Al Rumthiya,4,412001
1301001001,الأندلس,Al Andalus,13,1301001
1301001002,الشروق,Ash Shrouk,13,1301001
1301001003,النهضة,An Nahdah,13,1301001
1301001004,غطي,Ghatiy,13,1301001
1301001006,النزهة,An Nuzhah,13,1301001
1301001007,النرجس,An Narjis,13,1301001
1301001009,النفل,An Nafl,13,1301001
1301001010,الريحان,Ar Raihan,13,1301001
1301001011,الهدا,Al Hada,13,1301001
1301001012,الرفاع,Ar Rifa,13,1301001
1301001013,العقيلة الشمالية,North Al Uqaila,13,1301001
1301001014,النخيل,Al Nakhil,13,1301001
1301001015,الدعبوسية,Al Daebusia,13,1301001
1301001016,الزيتون,Az Zaytun,13,1301001
1301001017,الزمرد,Az Zomorod,13,1301001
1301001019,المروج,Al Muruj,13,1301001
1301001020,الشفاء,Ash Shifa,13,1301001
1301001021,حصيدة,Husaydah,13,1301001
1301001022,العزيزية,Al Aziziyah,13,1301001
1301001023,الملك فهد,King Fahd,13,1301001
1301001024,الواحة,Al Wahah,13,1301001
1301001025,الصناعية,Industrial,13,1301001
1301001027,الفرسان,Al Fursan,13,1301001
1301001028,غرناطة,Ghirnatah,13,1301001
1301001029,التلال,Al Talal,13,1301001
1301001030,البادية,Al Badiyah,13,1301001
1301001031,المنار,Al Manar,13,1301001
1301001032,الأمير عبدالاله بن عبدالعزيز,Prince AbdulIlah bin Abdulaziz,13,1301001
1301001033,الورود,Al Wurud,13,1301001
1301001034,الصفاء,As Safa,13,1301001
1301001035,الأمل,Al Amal,13,1301001
1301001036,الندى,An Nada,13,1301001
1301001037,الياسمين,Al Yasmin,13,1301001
1301001038,الرسالة,Ar Risalah,13,1301001
1301004001,الفيصلية,Al Faisaliyah,13,1301004
1301004003,الأندلس,Al Andalus,13,1301004
1301004004,الربوة,Ar Rabwah,13,1301004
1301004005,العزيزية,Al Aziziyah,13,1301004
1301004007,المنار,Al Manar,13,1301004
1301004008,الجوهرة,Al Jawharah,13,1301004
1301004009,البستان,Al Bustan,13,1301004
1303001001,النفل,An Nafl,13,1303001
1303001002,النخيل,Al Nakhil,13,1303001
1303001003,الشعلة,Al Sholah,13,1303001
1303001004,الزهور,Al Zuhur,13,1303001
1303001005,الحزم,Al Hazm,13,1303001
1303001006,النظيم,An Nadheem,13,1303001
405002025,البساتين,Al Basatin,4,405002
405002027,العبدلية,Al Abdaliah,4,405002
405002028,الفيصلية,Al Faisaliyah,4,405002
405002029,الجامعة,Al Jamiah,4,405002
408001001,الرفيعة,Ar Rafiah,4,408001
408001002,المنتزة,Al Muntazah,4,408001
408001003,المرقب,Al Marqab,4,408001
408001004,غاف الجواء,Ghaf Al Jiwaa,4,408001
408001005,روض الجواء,Rawd Al Jawa',4,408001
1302001017,الدانة,Ad Danah ,13,1302001
1302001018,البوادي,Al Bawadi,13,1302001
1302001019,الصناعي,Industrial,13,1302001
